Plot,Real.rich,Legume,Hed,PD,MNND,MPD,H,Simp,biomass2012,litter2012,biomass2013,biomass2014,ave.biomass,Light.tau,LAI,C.change.deep,C.change.surf,N.change.deep,N.change.surf,mean.N.change,poll_total,flwr_total,Mass.loss.1month,Mass.loss.2month,GRASS,SOAL,MOFI,ASTU,DECA,Damage_effect,bugs,bug.rich
X68,2,N,0.693147181,6.874754814,6.874754814,6.874754814,0.244614895,0.124237513,67.03,38.32,41.98,33.01,47.34,0.11,4.41,NA,NA,0.116,0.046,0.081,201,23761.875,2.123,2.956,NA,0.115958077,NA,NA,NA,0.115958077,27,8
X19,2,N,0.693147181,11.43160506,11.43160506,11.43160506,0.455093136,0.281540019,38.23,30.66,32.85,16.29,29.12333333,0.162,2.65,-0.367,-0.089,-0.013,-0.005,-0.009,0,0,3.087,4.183,0.108159428,NA,NA,NA,NA,0.108159428,16,6
X45,2,N,0.693147181,20.39840727,20.39840727,20.39840727,0.174758862,0.080770843,21.82,0,14.86,32.15,22.94333333,0.565,1.26,0.044,0.724,0.099,0.026,0.0625,197,3711.327273,2.654,3.521,NA,NA,NA,NA,NA,0,4,4
X21,2,N,0.693147181,32.59632,32.59632,32.59632,0.080388118,0.030716496,60.25,55.82,61.34,22.58,48.05666667,0.018,6.12,-0.12,-0.062,NA,-0.008,-0.008,239,665.9333333,3.617,3.89,NA,NA,-0.41142449,NA,NA,-0.41142449,24,8
X26,2,L,0.693147181,71.23078528,71.23078528,71.23078528,0.183896001,0.086173394,15.07,6.91,58.31,37.89,37.09,0.288,2.45,0.244,0.244,-0.004,-0.012,-0.008,0,0,2.937,3.463,NA,NA,NA,NA,NA,0,19,11
X93,2,N,0.693147181,75.57885643,75.57885643,75.57885643,0.469106547,0.293271473,19.16,9.32,27.33,5.4,17.29666667,0.265,2.04,0.911,0.835,0.072,0.038,0.055,0,0,2.673,3.286,0.270015696,NA,NA,NA,NA,0.270015696,3,3
X25,2,N,0.693147181,75.57885643,75.57885643,75.57885643,0.216252072,0.106001958,35.27,9.15,66.69,45.37,49.11,0.019,6.3,-0.407,0.322,0.006,0.006,0.006,0,0,3.736,4.179,-1.344826307,NA,NA,NA,NA,-1.344826307,10,6
X46,2,N,0.693147181,75.57885643,75.57885643,75.57885643,0.456650328,0.282836329,24.46,16.68,99.46,50.02,57.98,0.003,9.35,0.35,0.403,0.173,0.081,0.127,0,0,3.883,4.179,-0.597741548,NA,NA,NA,NA,-0.597741548,7,6
X40,4,N,1.385899063,84.63100169,9.052145261,53.40328604,0.903475812,0.49212846,56.06,8.7,108.49,103.16,89.23666667,0.034,5.68,NA,NA,-0.049,0.047,-0.001,0,0,2.92,4.544,-0.27255687,NA,NA,NA,NA,-0.27255687,8,5
X16,4,N,1.385899063,84.63100169,9.052145261,53.40328604,0.809842533,0.403099643,49.65,84.45,147.69,95.67,97.67,0.011,6.45,0.329,-0.018,0.046,0.036,0.041,0,0,4.127,4.463,-1.344826307,NA,NA,NA,NA,-1.344826307,28,10
